idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
327,refs/heads/main,582c129411ab596ddffdd2761fc58561845645a1,080679979186a6e62e4e41c7cb1914670f2ae15d,4bbd2b4fcfef5f73054d0cd79611500b1b22ead3,,39,True,54c3238cffe8c8c5f061b5f63e7b19c7b07d6ef79757b33a39e30b7504a3d9a9,Tests_failed,0.0,False,6ff76bc3eb5250fec5dfb95d72eabd2e44d5e5b63a2951b368adaa3bffe4e75a,Tests_failed,0.0,False
328,refs/heads/main,77a3ebdd131178036047f3f5dcb5d71e17032ba6,4df7a632f39e48a6334c7b0e31493afa9a5f35b9,5f96cfd0d65e3a19f2aea69ca825aabdecae5ddc,,100,False,b0cab27e62782b614f2a73314387915840eea23b400115287cc98dce011888bb,Tests_failed,0.0,False,1cad537ea42cb65158909d65cbd0dc5c8e53df551b42362caa80fa8bd176ada7,Tests_failed,0.0,False
333,refs/heads/main,48b4ac7116cfde0ff61e05dbcf32dacfe4b9f313,d610f69773e99ec7cf694387192386ceda4823d0,8883ee7d5804d83d86d91c645677d3f77f968dc3,,3400,True,71a6feb798f64cf09bf8a7ad7b8dc68b4c5094c3eefe17ec2c50932941a5b620,Tests_failed,0.0,False,4bd0023f4b3375cc7044a9bddb10ef38b557d3fe36743e3e13351b785bea18ce,Tests_failed,0.0,False
336,refs/heads/main,5eccd259982d326f14f4c6bd58c869a81b439358,62f2d400cd43e3adbbebb0db952ebb3aac219859,8618fc203e343a5835e74f89d892ce76a1fdebcd,,282,False,ba40f0fc3ba7376cbc6a00d6c6076e474d6cec9d92bc4dc7650a8d14adc0279b,Tests_failed,0.0,False,68872ca52095e4d21254251cd95998af78b01bd5841d53914886d82c760f2475,Tests_failed,0.0,False
339,refs/heads/main,7ac630d8bc9283699b6408e9d543c77c7e9e4ae0,523bf4b2aea3f5203f3c16028046447a198e5dd9,0f9542ed00266c6fc8b6a27d76db9bcbd3e37171,,4,True,96c188556323a452b4583b67cc9bc862e9e435e37e180ddad9766d379560eac3,Tests_failed,0.0,False,6cd37f8cc570dca17ed98dcfc07efc627e5ef6e57cf7f9a4da8dd32bdd2ef5e6,Tests_failed,0.0,False
340,refs/heads/main,719188611c91026df269d25e062d239bc7748193,05d9a8f1d64529d068faa9a8205bcab9e4591f44,8b937e6050bacaa414202dd3be1be37908dc8b08,two initial commits,27,False,294ad71360d3e6085e8b2546c5b695daf0f46e7daff45c3fd91117d06a4f810e,Tests_failed,0.0,False,fd147c5fac63f7557229c88573ed2d65730943b9e62c6a6fc7484c04562dfd98,Tests_failed,0.0,False
341,refs/heads/main,37cdf3cd427b7dfe16bf58ac60197f09787baac0,bfb324abd6e5dee45db4ba77ad64b8b7c130674f,f511eca7e8127dd7c168ac80b2f6ea4ade629e51,,129,False,e4e1ece87a6284bf87884da7417b851100da24ef99b80820046d606eee96c5b8,Tests_failed,0.0,False,652bf93955fb4659fedf4752d875bfaa2f172beaf3abca71e6e55b236489e623,Tests_failed,0.0,False
342,refs/heads/main,f511eca7e8127dd7c168ac80b2f6ea4ade629e51,abdecec0fd2d8bb52c2d29b9a7dcfd4651723703,906417b81f279e18e8aa5c609b87222808be16b9,,56,False,56fd2e952f54e5e143503cf188d5a59d01c1264af5087a3d22cb359ec02260dc,Tests_failed,0.0,False,d958a7f8808a43aed7948d8c9ed508d45a358534ad35774fa6768b768d021a78,Tests_failed,0.0,False
344,refs/heads/main,136591b0a19ce01e1a3bd32802a77a8e7286c2ea,3e838c19c54a9061681950a64fbeb1818a6bd4ec,c8c64457250e236727e364bab09592c674d57ddf,,110,False,3653d4f00a0c8db932be3d8653bd06fa8ede054d63430956ffccd3dc6d73ae41,Tests_failed,0.0,False,33c08a7ca834170d322e194de1c9a9a65fff9282ff019fb458330dd8428c2777,Tests_failed,0.0,False
345,refs/heads/main,5511da8f3c40614168a64b85e97d65f701a04193,8c77b1c3acb14033623dd5a3b1feb0b1694fa574,20f7eee14582d8806e3ffc667324875c87f5d99c,,39,False,8c7096cbedbf13d7963874554bdb220f889de69ef6036b11081b8aac5f7213dd,Tests_failed,0.0,False,c1743f5d3c521d76934cad389ceca1a681f4f640fb4660b49f5775339f94645f,Tests_failed,0.0,False
348,refs/heads/main,4ddc1f416234d30544b8cd2d666bce804ce7ab60,812ebc7ec55618a282c460fa0d5bb26ea510623a,f8e2b2794ee30f08d021ac52c95b7960d66bfeb6,,43,False,86efdf057643854cc99fae3cdec93056ea79b7dc7396fca17f1f30ed82c101be,Tests_failed,0.0,False,77eed6561fef50880d013697e63f1143dc9181690248ca10097afc7503bb87f7,Tests_failed,0.0,False
