idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
89,refs/heads/master,15cc886a666d79c054668447dde181778288b6b1,a68ee8527f72d4661e16a19df5da22f35c42fa9b,273e73fcdb27a9a5a9e13cc667a0b9643f2b5e6d,,False,21,False,False,,,,,,,
90,refs/heads/master,a68ee8527f72d4661e16a19df5da22f35c42fa9b,7562c3556e3b8fbf287b6ffdca42c3de6d824885,f75605dea5308da8d9257aae55d49ccc5410962e,,False,15,False,False,,,,,,,
91,refs/heads/master,7562c3556e3b8fbf287b6ffdca42c3de6d824885,93fc001fa753483cae5a13e861b2c0ed1b9936d0,33221fe196cbe82644502c3e161278dc969717d9,,False,29,False,False,,,,,,,
92,refs/heads/master,93fc001fa753483cae5a13e861b2c0ed1b9936d0,2f0e9b26c9c287bd777592a49c41da2b34a8b874,4093b64b3df26d6c800ba0de17fd5e00d4add5cc,,False,32,False,False,01c4f109b44e1c8b56d947d63f89f2e44d155d723bff9fe78e8cd660f3e9e1ff,3df3d28eb9edfae116d1117e4e3fc46e14272ead590b21a10d66d34f3d0f1ef3,Tests_failed,0.0,Tests_failed,0.0,False
94,refs/heads/master,488d1c8aa91411c354cf6e3ec18fc1e84857e7d8,41d6ccb0011f13714effe23af2417712f780b9fa,aa8c439dcf0b5e07cac492cec98c99b2266e879b,,False,9,False,False,2b1849747d20c46fe2b4c28f788e256976840b0f212cba25cfecf7a29c6b8371,3df3d28eb9edfae116d1117e4e3fc46e14272ead590b21a10d66d34f3d0f1ef3,Tests_failed,0.0,Tests_failed,0.0,False
95,refs/heads/master,41d6ccb0011f13714effe23af2417712f780b9fa,2b0919ce5e54b19f8eb79834ad5385c3e94bf7a7,62da27d50c89b81b80532929661fd1c1b8a9c788,,False,3,False,False,7a1055b8644e9fc971cfb4e0c20d1ea651031c676da5defbc00603f382110d45,2b1849747d20c46fe2b4c28f788e256976840b0f212cba25cfecf7a29c6b8371,Tests_failed,0.0,Tests_failed,0.0,False
96,refs/heads/master,2b0919ce5e54b19f8eb79834ad5385c3e94bf7a7,452ffe0fd074ffe4838305878e0501a9dc6e6995,73d78b61cbf81e1847a93157a48999d3562c72a4,,False,7,False,False,,,,,,,
98,refs/heads/master,110bb85a0a60216a265617eb52aa2cc09c912247,d4aa7c6f883d94561bb40afc8498a26ea813fe75,389384c27b93f61404344da709f9f8262de75d4d,,True,1180,False,False,0eba7c29e29817f0aea6d7add1d80c573646cca60ed3dfbcc431ae94d2de5d44,6613483c292067f2312fa78bb2042cb90270ba4610ff00d9eb27a676644cecb8,Tests_failed,0.0,Tests_failed,0.0,False
99,refs/heads/master,be69ccdfd4d111a835ffd0e6a82d91e06bdce1ec,e381b258a87c67f5c6b5254262c5af953f0192c6,ff50ad5661c71f3600ccffa66a6e8e26db4ae4c2,,True,86,False,False,92776c1ed92635d260c97d940d7540845e74a1c65b334884134a2430f755c953,3448d3e1c617602cdc1235eb42dddd9d783c79fa712641d98eafdc67f1666ed7,Tests_failed,0.0,Tests_failed,0.0,False
100,refs/heads/master,39c90cd8e72d7a9e1a1c98cbee13618424cd162e,9aa44b30b700661f90913b77339b8a51805f7af0,34b69af84eb35d5106d958ae0f62408287ef15e2,,True,526,False,False,1ce7ec90ae0e145ee3adf6d49438e9f887f17682b70f8ecf8f993a02dc51cbbf,02632ccd8b467874d001825d0673306a0929c3e82aefff98c108917529ace040,Tests_failed,0.0,Tests_failed,0.0,False
