idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash,head tree fingerprint,head test result
402,wnbittle/dyn4j,Java,0.958237,1,0,0.233708,2.278689,0.016393,1,149152,0.366405,39,1,0,1,1,ee912bf03f8c7ce70ac594b1356c51755834a61a,3624958452cabd2afcfb3449704c86120258460f8634ae593d274d751c82ea70,Tests_passed
407,dataArtisans/flink-dataflow,Java,0.98,2,0,0.258077,85.0,0.0,1,3784,0.2347,45,1,0,1,1,aad5d936abd41240f3e15d294ea181fb9cca05e0,fc5b9674d18d83b2b7280eb4047ed111e56cdcc58f6487ba48e4c4ce07070d15,Tests_passed
418,3breadt/dd-plist,Java,1.0,2,0,0.408773,2.528302,0.056604,0,4341,0.069554,45,1,0,1,1,a68d259916108e498164b82795e241bfd08e07a1,9885b64fc34f47c98816efbad095f286a0255d0d7012f143b0a733fc8526695c,Tests_passed
423,smallnest/kafka-example-in-scala,Java,0.5,1,0,0.105747,0.0,0.0,1,473,0.0,18,0,0,1,1,72c0bc909dcff96ae6f4a9066b6f21e8d6d9c04f,805193460955abf2672570ac53a71274dc2eccd59f1bda335a19024e651ec315,Tests_passed
442,randomeizer/gwt-dispatch,Java,1.0,0,0,0.293075,0.0,0.0,0,2124,0.08041,8,0,0,1,0,7362b8ac6290e6482a7d360d483a7e8d2f8a3876,96865beaa969a6a08045fd35ce034e212b32b75ca728bf8a7a861d3dbd1754ff,Tests_passed
444,turbomanage/basic-http-client,Java,0.942857,1,0,0.40379,1.212121,0.060606,1,1318,0.0,38,0,0,1,1,56baa2eccf3e09f092a419ee5a13c2aca548b44c,2a8fa09028b17a433fbcb18d525e6bed1c74352040e7b3821d72e074433dd6ed,Tests_passed
446,cjwizard/cjwizard,Java,0.869565,3,1,0.473095,0.0,0.0,1,1611,0.136773,10,1,0,1,1,b7c333dc99bd1f825a7e68eb06b3ca3d208905cd,53ce17eb6d5ea519f94453a15d949d86e25d4bceb9dfeb7158d2ccea6d200d5c,Tests_passed
458,algaworks/aula-pesquisa-selecao-dialog-framework,Java,0.7,1,0,0.001686,0.0,0.0,0,596,0.0,6,0,0,0,0,fb0e35e58a543270a608df0388aa7fe1547f8446,6d32df55d934702223b55d8f2e56ef1aba9ca4c60dfce630a845cd1d43b5c571,Tests_passed
463,commonrpc/commonrpc,Java,0.870968,2,0,0.281451,0.0,0.0,0,3467,0.012788,30,0,0,1,0,483f6fdc862d27529f9a27b7fa09f06874037cca,9c17a01b0da4297a559cac83dabe05a07c9481da1c234bcd8f141f11d7ab27da,Tests_passed
496,iterate-ch/java-openstack-swift,Java,1.0,1,0,0.177898,3.263158,0.0,1,5513,0.178461,11,1,0,1,1,18a6d14acd5f0d01523adebfc1a5250adf48d217,90ba1c6ae170311361572a4f822baf1265d21fb3a8d2e76fd155a479cb9b80ee,Tests_passed
